date,price
9/29/08,3.67
9/22/08,3.725
9/15/08,3.804
9/8/08,3.859
9/1/08,3.905
8/25/08,3.955
8/18/08,4.037
8/11/08,4.118
8/4/08,4.205
7/28/08,4.317
7/21/08,4.46
7/14/08,4.52
7/7/08,4.55
6/30/08,4.573
6/23/08,4.585
6/16/08,4.588
6/9/08,4.433
6/2/08,4.242
5/26/08,4.099
5/19/08,3.952
5/12/08,3.919
5/5/08,3.903
4/28/08,3.892
4/21/08,3.846
4/14/08,3.774
4/7/08,3.685
3/31/08,3.608
3/24/08,3.602
3/17/08,3.604
3/10/08,3.537
3/3/08,3.459
2/25/08,3.328
2/18/08,3.191
2/11/08,3.108
2/4/08,3.107
1/28/08,3.148
1/21/08,3.226
1/14/08,3.29
1/7/08,3.328
12/31/07,3.298
12/24/07,3.261
12/17/07,3.285
12/10/07,3.329
12/3/07,3.361
11/26/07,3.398
11/19/07,3.395
11/12/07,3.366
11/5/07,3.231
10/29/07,3.159
10/22/07,3.143
10/15/07,3.053
10/8/07,2.996
10/1/07,2.973
9/24/07,2.961
9/17/07,2.904
9/10/07,2.839
9/3/07,2.791
8/27/07,2.791
8/20/07,2.862
8/13/07,2.928
8/6/07,3.016
7/30/07,3.06
7/23/07,3.118
7/16/07,3.158
7/9/07,3.136
7/2/07,3.157
6/25/07,3.192
6/18/07,3.236
6/11/07,3.32
6/4/07,3.374
5/28/07,3.407
5/21/07,3.436
5/14/07,3.45
5/7/07,3.461
4/30/07,3.359
4/23/07,3.316
4/16/07,3.305
4/9/07,3.252
4/2/07,3.228
3/26/07,3.152
3/19/07,3.121
3/12/07,3.068
3/5/07,2.897
2/26/07,2.796
2/19/07,2.71
2/12/07,2.632
2/5/07,2.535
1/29/07,2.491
1/22/07,2.538
1/15/07,2.583
1/8/07,2.632
1/1/07,2.61
12/25/06,2.607
12/18/06,2.561
12/11/06,2.504
12/4/06,2.496
11/27/06,2.493
11/20/06,2.495
11/13/06,2.464
11/6/06,2.396
10/30/06,2.434
10/23/06,2.481
10/16/06,2.54
10/9/06,2.601
10/2/06,2.683
9/25/06,2.76
9/18/06,2.848
9/11/06,2.949
9/4/06,3.01
8/28/06,3.098
8/21/06,3.162
8/14/06,3.211
8/7/06,3.192
7/31/06,3.198
7/24/06,3.22
7/17/06,3.24
7/10/06,3.224
7/3/06,3.189
6/26/06,3.163
6/19/06,3.198
6/12/06,3.225
6/5/06,3.269
5/29/06,3.266
5/22/06,3.323
5/15/06,3.33
5/8/06,3.332
5/1/06,3.202
4/24/06,3.068
4/17/06,2.896
4/10/06,2.811
4/3/06,2.743
3/27/06,2.669
3/20/06,2.635
3/13/06,2.532
3/6/06,2.48
2/27/06,2.439
2/20/06,2.473
2/13/06,2.522
2/6/06,2.544
1/30/06,2.513
1/23/06,2.424
1/16/06,2.417
1/9/06,2.328
1/2/06,2.213
12/26/05,2.233
12/19/05,2.249
12/12/05,2.277
12/5/05,2.335
11/28/05,2.412
11/21/05,2.453
11/14/05,2.582
11/7/05,2.659
10/31/05,2.747
10/24/05,2.827
10/17/05,2.902
10/10/05,2.964
10/3/05,2.973
9/26/05,2.947
